a	/ei/	art.一(个);每一(个);(同类事物中)任一个\r
altogether	/,ɔ:ltə'ɡeðə/	ad.完全,总之,全部地;总共;总而言之\r
aluminum	/ə'lju:minəm/	n.(aluminium)铝\r
always	/'ɔ:lweiz,-wiz/	ad.总是,无例外地;永远,始终\r
amateur	/'æmətə,,æmə'tə:/	a.&n.业余(水平)的(运动员、艺术家等)\r
amaze	/ə'meiz/	vt.使惊奇,使惊愕;使困惑vi.表现出惊奇\r
ambassador	/æm'bæsədə/	n.大使;特使,(派驻国际组织的)代表\r
ambiguous	/æm'biɡjuəs/	a.引起歧义的,模棱两可的,含糊不清的\r
ambition	/æm'biʃən/	n.对(成功、权力等)的强烈欲望,野心;雄心\r
ambitious	/æm'biʃəs/	a.有抱负的,雄心勃勃的;有野心的\r
ambulance	/'æmbjuləns/	n.救护车,救护船,救护飞机\r
amend	/ə'mend/	vt.修改,修订,改进\r
amiable	/'eimjəbl/	a.和蔼可亲的,友善的,亲切的\r
amid	/ə'mid/	prep.在…中间,在…之中,被…围绕\r
among	/ə'mʌŋ/	prep.在…之中;在一群(组)之中;于…之间\r
amount	/ə'maunt/	n.总数,数量;数额v.共计;等同,接近(to)\r
ample	/'æmpl/	a.充分的,富裕的;宽敞的,宽大的\r
amplifier	/'æmplifaiə/	n.放大器,扩大器\r
amplify	/'æmplifai/	vt.放大,增强;详述,详加解说\r
amuse	/ə'mju:z/	vt.向…提供娱乐,使…消遣;引人发笑\r
analogue	/'ænəlɔɡ/	n.类似物;相似体;模拟\r
analogy	/ə'nælədʒi/	n.类似,相似,类比,类推\r
analyse	/'ænəlaiz/	vt.（analyze）分析,分解\r
analysis	/ə'næləsis/	n.(pl.analyses)分析;分解\r
analytic	/,ænə'litik,-kəl/	a.(analytical)分析的;分解的\r
ancestor	/'ænsestə/	n.祖宗,祖先;原型,先驱\r
anchor	/'æŋkə/	n./v.锚;危难时可依靠的人或物;用锚泊船\r
ancient	/'einʃənt/	a.古代的,古老的,古式的\r
and	/强ænd,弱ənd,ən/	conj.和,与,而且;那么;接连,又\r
anecdote	/'ænikdəut/	n.轶事,趣闻,短故事\r
angel	/'eindʒəl/	n.天使,安琪儿\r
anger	/'æŋɡə/	n.愤怒,气愤vt.使发怒,激怒vi.发怒\r
angle	/'æŋɡl/	n.角,角度v.钓鱼;(采用各种方法）取得\r
angry	/'æŋɡri/	a.生气的,愤怒的;(天气)风雨交加的\r
anguish	/'æŋɡwiʃ/	n.(尤指心灵上的)极度痛苦,烦恼\r
animal	/'æniməl/	n.动物,野兽,牲畜a.动物的,野兽的\r
ankle	/'æŋkl/	n.足踝,踝关节\r
anniversary	/,æni'və:səri/	n.周年,周年纪念日\r
announce	/ə'nauns/	v.正式宣布;发表;通告;广播（电台节目）\r
annoy	/ə'nɔi/	vt.使恼怒,使生气;打扰vi.招人讨厌\r
annual	/'ænjuəl/	a.每年的,一年生的n.年刊;一年生植物\r
anonymous	/ə'nɔniməs/	a.匿名的,无名的,姓氏不明的\r
another	/ə'nʌðə/	a.另一个,又,再pron.另一个,类似的一个\r
answer	/'ɑ:nsə,'æn-/	vt.回答,答复,答案v.回答,答复,响应\r
ant	/ænt/	n.蚁;蚂蚁\r
antenna	/æn'tenə/	n.(无线电或电视的)天线\r
anticipate	/æn'tisipeit/	vt.预料;期望;预先考虑;抢先;提前使用\r
antique	/æn'ti:k/	a.古式的,过时的　n.有价值的古物,古董\r
anxiety	/æŋ'zaiəti/	n.挂念,焦虑,焦急,忧虑;渴望,热望\r
anxious	/'ænkʃəs/	a.焦虑的,担心的;急于(得到的),渴望的\r
any	/'eni/	a.(用于否定句、疑问句等)什么,一些;任何的\r
anybody	/'eni,bɔdi/	pron.(否定句)任何人;(肯定句)随便哪个人\r
anyhow	/'enihau/	ad.不管怎么说,无论如何;不论用何种方法\r
anyone	/'eniwʌn/	pron.(用于疑问句,否定式)任何人\r
anything	/'eniθiŋ/	pron.任何东西(事物);无论什么东西(事物)\r
anyway	/'eniwei/	ad.不管怎么说,无论如何;不论以何种方式\r
anywhere	/'enihwεə/	ad.无论哪里;(用于否定、疑问等)任何地方\r
apart	/ə'pɑ:t/	ad.分离,离开,隔开a.分离的,分隔的\r
apartment	/ə'pɑ:tmənt/	n./英/房间,套间;/美/公寓\r
apologise	/ə'pɔlədʒaiz/	v.(to,for)道歉,认错\r
apology	/ə'pɔlədʒi/	n.道歉,认错,辩解,辩护\r
appal	/ə'pɔ:l/	v.使惊骇,使恐怖\r
apparatus	/,æpə'reitəs/	n.器械,器具,仪器;机构,组织\r
apparent	/ə'pærənt/	a.表面上的,貌似真实的;显然的,明明白白的\r
appeal	/ə'pi:l/	vi.呼吁,恳求;申诉n.呼吁;申诉;吸引力\r
appear	/ə'piə/	vi.出现;出场;问世;仿佛;出版,发表\r
appearance	/ə'piərəns/	n.出现,露面;外表;(在会议等)作短暂露面\r
appendix	/ə'pendiks/	n.附录,附属物;阑尾,盲肠\r
appetite	/'æpitait/	n.食欲,胃口;欲望,性欲;爱好,趣味\r
applaud	/ə'plɔ:d/	vt.鼓掌欢迎;赞同vi.鼓掌欢迎,欢呼\r
applause	/ə'plɔ:z/	n.鼓掌;喝彩;夸奖,赞扬\r
apple	/'æpl/	n.苹果,苹果树\r
appliance	/ə'plaiəns/	n.电器;器械,装置;应用,适用\r
applicable	/'æplikəbl,ə'plikə-/	a.可应用(实施)的;适当的,合适的\r
application	/,æpli'keiʃən/	n.申请,请求,申请书;应用,实施,实用性\r
apply	/ə'plai/	vi.(以书面形式)申请;请求vt.应用;实施\r
appoint	/ə'pɔint/	vt.任命,委派;指定,约定(时间、地点等)\r
appointment	/ə'pɔintmənt/	n.约会,约定;任命,委派;委任的职位\r
appraisal	/ə'preizəl/	n.对...作出的评价;评价,鉴定,评估\r
appreciate	/ə'pri:ʃieit/	vt.为...表示感激,感谢;欣赏,赏识,评价\r
approach	/ə'prəutʃ/	v.靠近,接近n.接近;途径,入门;方式,方法\r
appropriate	/ə'prəuprieit/	a.适当的,恰当的,特有的vt.拨给,挪用,盗用\r
approval	/ə'pru:vəl/	n.批准,通过;赞成,同意\r
approve	/ə'pru:v/	v.(of)赞成,赞许,同意;批准,审议,通过\r
approximate	/əˈprɒksɪmət , əˈprɒksɪmeɪt/	a.近似的vi.(to)接近\r
April	/ˈeɪprəl/	(名)四月\r
apt	/æpt/	a.恰当的,适当的;易于…的,有…倾向的\r
arbitrary	/'ɑ:bitrəri/	a.任意的,任性的,主观的;专断的,武断的\r
arch	/ɑ:tʃ/	n.拱门,桥拱洞v.拱起,(使)变成弓形\r
architect	/'ɑ:kitekt/	n.建筑师;设计师;缔造者;创造者\r
architecture	/'ɑ:kitektʃə/	n.建筑,建筑学;建筑式样或风格,建筑物\r
area	/'εəriə/	n.面积;地区,地域;领域,范围\r
argue	/'ɑɡju:/	vi.辩论,争论vt.辩论,论证;说服,劝说\r
argument	/'ɑ:ɡjumənt/	n.争论(吵),辩论;理由;论证\r
arise	/ə'raiz/	v.出现,发生;(from)由…引起,由…产生\r
arithmetic	/ə'riθmətik/	n.算术,四则运算\r
arm	/ɑ:m/	n.手臂,扶手,臂状物v.武装;配备n.武器\r
army	/'ɑ:mi/	n.军队,陆军,军;大群,大批\r
around	/ə'raund/	ad.在...周围,到处prep.在..四周(或附近)\r
arouse	/ə'rəuz/	vt.唤醒,叫醒;唤起,激起\r
arrange	/ə'reindʒ/	v.安排,筹划;整理,使有条理,排列,布置\r
array	/ə'rei/	n.大量;排列;盛装v.列阵;装扮;排列\r
arrest	/ə'rest/	n.逮捕,扣留vt.逮捕,扣留;阻止;吸引\r
arrival	/ə'raivəl/	n.到达,到来;到达者,到达物\r
arrive	/ə'raiv/	vi.到达;(时间、事件)到来,发生;达到\r
arrogant	/'ærəɡənt/	a.傲慢的,自大的\r
arrow	/'ærəu/	n.箭,矢,箭状物;箭头符号\r
art	/ɑ:t/	n.艺术,美术;技术,技艺;文科,人文科学\r
artery	/'ɑ:təri/	n.动脉;干线,要道\r
article	/'ɑ:tikəl/	n.文章,论文;条款,条文;物件;冠词\r
articulate	/ɑ:'tikjulət/	a.善于表达的;有关节相连的v.清楚地讲话\r
artificial	/,ɑ:ti'fiʃəl/	a.人工的,人造的,人为的;虚伪的,做作的\r
artist	/'ɑ:tist/	n.艺术家,美术家;(某方面的)能手\r
artistic	/ɑ:'tistik/	a.艺术(家)的,美术(家)的;善于艺术创作的\r
as	/æz , əz/	ad.同样地conj.由于;像...一样prep.作为\r
ascend	/ə'send/	vi.渐渐上升,升高vt.攀登,登上\r
ascertain	/ə'send/	vt.确定,查明,弄清\r
ash	/æʃ/	n.灰,灰末;(pl.)骨灰;(pl.)废墟\r
ashamed	/ə'ʃeimd/	a.惭愧的,羞耻的,害臊的\r
ashore	/ə'ʃɔ:/	ad.上岸;在岸上,向岸上\r
aside	/ə'said/	ad.在旁边,到一边n.旁白;离题的话\r
ask	/ɑ:sk,æsk/	vt.问,询问;请求,要求;邀请,约请\r
asleep	/ə'sli:p/	a.睡觉,睡着(用作表语)\r
aspect	/'æspekt/	n.样子,外表,面貌,(问题等的)方面\r
aspire	/ə'spaiə/	vi.(to,after)渴望,追求,有志于\r
assassinate	/ə'sæsineit/	vt.暗杀,行刺;中伤\r
assault	/ə'sɔ:lt/	v.猛烈地攻击,袭击n.突然而猛烈的攻击\r
assemble	/ə'sembl/	vt.集合,召集;装配;收集vi.集合,聚集\r
assembly	/ə'sembli/	n.集合;会议;装配;(美)洲议会的众议院\r
assert	/ə'sə:t/	vt.断言,宣称;坚持;主张（权利、权威等）\r
assess	/ə'ses/	vt.(为征税)评估(财产、收入);征税;评价\r
asset	/'æset/	n.(pl.)资产,财产;有价值的物品;天赋\r
assign	/ə'sain/	vt.派给,分配;选定,指定(时间、地点等)\r
assignment	/ə'sainmənt/	n.分配,指派;(指定的)作业,(分派的)任务\r
assimilate	/ə'simileit/	vt.吸收,消化;使同化vi.被吸收;被同化\r
assist	/ə'sist/	vt.协助,帮助,促进vi.帮忙,参加\r
assistance	/ə'sistəns/	n.协作;援助;帮助\r
assistant	/ə'sistənt/	a.帮助的,辅助的n.助手,助教;辅助物\r
associate	/ə'səuʃieit/	vt.联想;交往;联合;n.伙伴;a.联合的\r
association	/ə,səusi'eiʃən/	n.联盟,协会,社团;交往,联合;联想\r
assume	/ə'sju:m,ə'su:m/	vt.假装;假定,设想;承担;呈现,采取\r
assumption	/ə'sʌmpʃən/	n.假定,设想;采取;承担;推测;假装\r
assurance	/ə'ʃuərəns/	n.保证,担保;确信,断言;信心,信念\r
assure	/ə'ʃuə/	vt.使确信,使放心(of);向…保证\r
astonish	/ə'stɔniʃ/	vt.使惊讶,使吃惊\r
astronaut	/'æstrənɔ:t/	n.太空人,太空旅行者\r
astronomy	/ə'strɔnəmi/	n．天文学\r
at	/强æt,弱ət/	prep./表示价格、速度等/以,达;在..方面\r
athlete	/'æθli:t/	n.运动员,体育家,身强力壮的人\r
atmosphere	/'ætmə,sfiə/	n.大气(层);空气;气氛,环境;大气压\r
atom	/'ætəm/	n.原子;微粒,微量\r
attach	/ə'tætʃ/	v.系,贴,装,连接;使成为一部分;使依恋\r
attack	/ə'tæk/	v./n.攻击,抨击;着手,开始n.(病)发作\r
attain	/ə'tein/	vt.达到;完成;获得vi.达到\r
attempt	/ə'tempt/	vt.企图,试图n.努力,尝试,企图\r
attend	/ə'tend/	vt.出席,参加;照顾,护理vi.注意;侍奉\r
attendance	/ə'tendəns/	n.出席;出席人数;护理,照料\r
attendant	/ə'tendənt/	n.陪从;出席人;服务员a.出席的;伴随的\r
attention	/ə'tenʃən/	n.注意,注意力;立正;特别照顾;照料\r
attitude	/'ætitju:d,-tu:d/	n.态度,看法(to,toward,about);姿势\r
attorney	/ə'tə:ni/	n.(业务或法律事务上的)代理人;辩护律师\r
attract	/ə'trækt/	vt.引起的注意(或兴趣等),吸引;引起;激起\r
attractive	/ə'træktiv/	a.吸引人的,引人注意的;漂亮的,迷人的\r
attribute	/ə'tribju:t,'ætribju:t/	v.(to)归因于,归属于n.属性,品质,特征\r
auction	/'ɔ:kʃən/	n.／vt.拍卖\r
audience	/'ɔ:diəns/	n.听众,观众,读者;见面,会见\r
audio	/'ɔ:diəu/	n./a.音频(响)(的);声音(的),听觉(的)\r
audit	/'ɔ:dit/	v.审计;查帐;核对;旁听\r
auditorium	/,ɔ:di'tɔ:riəm/	n.观众席,听众席;会堂,礼堂\r
augment	/ɔ:ɡ'ment,'ɔ:gmənt/	vt.(使)增大,增加,增长,扩张\r
August	/ɔ:'ɡʌst/	n.8月\r
aunt	/ɑ:nt,ænt/	n.姨母,姑母,伯母,婶母,舅母,阿姨\r
aural	/'ɔ:rəl/	a.听觉的,听力的\r
authentic	/ɔ:'θentik/	a.真的,真正的;可靠的,可信的,有根据的\r
author	/'ɔ:θə/	n.作者,作家,著作人;创始人,发起人\r
authority	/ɔ:'θɔrəti/	n.权力,权威;权威人士;(pl.)官方,当局\r
auto	/'ɔ:təu/	n.(automobile)(口语)汽车\r
automatic	/,ɔ:tə'mætik/	a.自动(装置)的;无意识的;n.自动机械\r
automation	/,ɔ:tə'meiʃən/	n.自动,自动化,自动操作\r
autonomy	/ɔ:'tɔnəmi/	n.自治,自治权;\r
autumn	/'ɔ:təm/	n.秋,秋季;成熟期,渐衰期\r
auxiliary	/ɔ:ɡ'ziljəri/	a.辅助的,支援的n.辅助者,辅助设备\r
avail	/ə'veil/	n./一般用于否定句或疑问句中/效用,利益\r
available	/ə'veiləbl/	a.(用于物)可利用的;可见到的,接受采访的\r
avenue	/'ævənju:/	n.林荫路,大街;(比喻)途径,渠道,方法\r
average	/'ævəridʒ/	n.平均,平均数a.平均的;普通的v.平均\r
avert	/ə'və:t/	v.防止,避免;转移(目光、注意力等)\r
aviation	/,eivi'eiʃən/	n.航空,航空学;飞机制造业\r
avoid	/ə'vɔid/	vt.防止,避免;逃避,避开\r
await	/ə'weit/	vt.等候,期待;(事情等)降临于\r
awake	/ə'weik/	a.醒着的vt.唤醒,使觉醒vi.醒来,醒悟到\r
award	/ə'wɔ:d/	vt.授予,给予;判定n.奖,奖金;仲裁\r
aware	/ə'wεə/	a.知道的,意识到的;\r
away	/ə'wei/	ad.在远处;离开;渐渐远去;一直;去掉\r
awe	/ɔ:/	n.敬畏,惊惧vt.使敬畏,使惊惧\r
awful	/'ɔ:ful/	a.极度的,极坏的;威严的,可怕的\r
awkward	/'ɔ:kwəd/	a.笨拙的;尴尬的;使用不便的;难处理的\r
axe	/æks/	n.（ax）斧子;削减vt.用斧砍\r
axis	/'æksis/	n.轴,轴线,中心线;坐标轴,基准线\r
baby	/'beibi/	n.婴儿;年龄最小的人;小动物a.婴儿似的\r
bachelor	/'bætʃələ/	n.单身汉;(亦作B-)学士(学位)\r
